歌星id,歌星名称
"1","陈小春"
"2","莫文蔚"
"3","小虎队"
"4","彭羚"
"5","S.H.E"
"6","丁文琪"
"7","陈百强"
"8","金素梅"
"9","孟庭苇"
"10","那英"
"11","蔡琴"
"12","张信哲"
"13","动力火车"
"14","黄湘怡"
"15","陈奕迅"
"16","李克勤"
"17","胡兵"
"19","周冰倩"
"20","李心洁"
"21","林志炫"
"22","王菲"
"23","谢霆锋"
"24","周治平"
"25","巫启贤"
"26","麦子杰"
"27","解晓东"
"28","范晓萱"
"29","丁小芹"
"30","蔡依林"
"31","羽泉"
"32","刘德华"
"33","张国荣"
"34","潘美辰"
"35","满文军"
"36","王杰"
"37","梅艳芳"
"38","高雪岚"
"39","林忆莲"
"40","老狼"
"41","黄耀明"
"42","齐秦"
"44","姜育恒"
"45","雪村"
"46","孙国庆"
"47","郑钧"
"48","零点乐队"
"49","罗文"
"50","腾格尔"
"51","王力宏"
"52","许志安"
"53","徐怀钰"
"54","花儿乐队"
"55","梁静茹"
"56","陈冠希"
"57","陈晓东"
"58","韩红"
"59","斯琴格日乐"
"60","陈慧娴"
"61","郭富城"
"62","叶启田"
"63","卓依婷"
"65","谢雨欣"
"66","陈红"
"67","黎明"
"68","张卫健"
"69","李翊君"
"70","王馨平"
"71","伍思凯"
"72","许茹芸"
"73","张柏芝"
"74","萧亚轩"
"75","陈淑桦"
"76","BEYOND"
"77","王炎"
"78","彭佳慧"
"79","潘越云"
"80","徐小凤"
"81","关正杰"
"82","辛晓琪"
"83","张学友"
"84","吴倩莲"
"85","张秀卿"
"86","光良"
"87","郑伊健"
"88","高胜美"
"89","苏有朋"
"90","戴军"
"91","陶晶莹"
"92","戴佩妮"
"93","孙耀威"
"94","郑秀文"
"95","谭咏麟"
"96","黎瑞恩"
"97","邓丽君"
"98","屠洪刚"
"99","杨千桦"
"100","锦绣二重唱"
"101","游鸿明"
"102","柯以敏"
"103","侯湘婷"
"104","周杰伦"
"105","费翔"
"106","周华健"
"107","李玟"
"108","梁咏琪"
"109","李蕙敏"
"110","陈洁仪"
"111","梁雁翎"
"112","熊天平"
"113","郑中基"
"114","黄凯芹"
"115","罗百吉"
"116","王志文"
"117","刘淑芳"
"118","周慧敏"
"119","高慧君"
"120","古天乐"
"121","李度"
"122","李迪文"
"123","张镐哲"
"125","陈明真"
"126","杨采妮"
"127","苏慧伦"
"128","风火海"
"129","张惠妹"
"130","曾心梅"
"131","龙飘飘"
"132","张宇"
"133","任贤齐"
"134","庾澄庆"
"135","陈升"
"136","刘若英"
"137","朱茵"
"138","李宗盛"
"139","林俊杰"
"140","周蕙"
"141","范文芳"
"142","郭峰"
"143","杜德伟"
"145","蔡济文"
"146","无印良品"
"147","田震"
"148","万芳"
"149","林心如"
"150","五月天"
"151","梁朝伟"
"152","周艳泓"
"153","甘萍"
"154","草蜢"
"155","迟志强"
"157","赵薇"
"158","苏芮"
"159","夏韶声"
"161","古巨基"
"162","赵传"
"163","张智霖"
"164","吕方"
"165","阿爆&Brandy"
"166","阿杜"
"167","王秀琪"
"168","韩宝仪"
"169","张行"
"170","罗大佑"
"171","叶德娴"
"172","金海心"
"173","周迅"
"174","张克帆"
"175","叶倩文"
"176","黄韵玲"
"177","张清芳"
"178","优客李林"
"179","尤雅"
"180","陈百潭"
"181","毛宁"
"182","李琛"
"183","陈译贤"
"184","黄安"
"185","齐豫"
"186","窦唯"
"187","江涛"
"188","蒋大为"
"189","黄莺莺"
"190","许冠杰"
"191","林帆"
"192","伊能静"
"193","曾宝仪"
"195","钟镇涛"
"196","白雪"
"197","高向鹏"
"199","柯受良"
"200","张雨生"
"201","娃娃"
"202","许美静"
"203","瞿颖"
"204","陈绮贞"
"205","王中平"
"206","黄西田"
"207","关淑怡"
"208","茅威涛"
"209","张敬轩"
"210","蔡国权"
"211","孙楠"
"212","周俊伟"
"213","巫奇"
"214","张震岳"
"215","苏永康"
"216","陈慧琳"
"217","杨坤"
"218","含笑"
"219","童安格"
"221","许秋怡"
"222","李茂山"
"223","林淑蓉"
"224","甄妮"
"225","潘晓峰"
"227","孙燕姿"
"228","毛阿敏"
"229","张咪"
"230","邰正宵"
"231","郑少秋"
"232","章鹏"
"233","温兆伦"
"234","眉佳"
"235","汤宝如"
"236","陈琳"
"237","成龙"
"238","阿雅"
"239","陆毅"
"240","容祖儿"
"241","阮丹青"
"242","贺一航"
"243","黄品源"
"244","吴奇隆"
"245","杨钰莹"
"246","董文华"
"247","潘长江"
"248","李泉"
"249","蔡幸娟"
"250","叶丽仪"
"251","韩磊"
"252","蔡健雅"
"253","梁汉文"
"254","豹小子"
"255","TAE"
"256","纪如景"
"258","许绍洋"
"259","张也"
"260","郑绪岚"
"262","江蕙"
"263","孙悦"
"264","赵学而"
"265","温岚"
"266","任静"
"268","顺子"
"270","何静"
"271","马浚伟"
"272","戴玉强"
"273","孙丽英"
"274","朴树"
"276","叶玉卿"
"277","罗嘉良"
"278","陈星"
"279","亚东"
"280","宋祖英"
"281","陈妃平"
"282","林志颖"
"283","裘海正"
"284","彭靖惠"
"285","迪克牛仔"
"286","堂娜"
"287","北原山猫"
"288","陈明"
"289","达明一派"
"290","刘小慧"
"291","杨乃文"
"292","黄鹤翔"
"293","林子祥"
"294","李圣杰"
"296","周璇"
"297","李娜"
"298","黄格选"
"299","莫少聪"
"300","方文琳"
"301","黄子华"
"303","金学峰"
"305","朱桦"
"306","李碧华"
"307","刘雅丽"
"308","黑豹乐队"
"310","韦唯"
"312","施文彬"
"313","胡蓓蔚"
"314","利绮"
"315","阿吉仔"
"316","陶吉吉"
"317","F4"
"318","林隆璇"
"319","吴宗宪"
"320","成方圆"
"321","林依伦"
"322","洪荣宏"
"323","郑智化"
"324","罗时丰"
"325","青山"
"326","孙淑媚"
"327","刘家昌"
"328","中国力量"
"329","范玮琪"
"330","MariahCarry"
"331","周杰"
"333","郭小霖"
"334","张玉珊"
"335","赵咏华"
"336","李乐诗"
"337","郁钧剑"
"338","阎维文"
"339","魏金栋"
"340","钟汉良"
"341","林凡"
"342","太极乐队"
"343","江美琪"
"344","俞隆华"
"345","安雯"
"346","彭家丽"
"347","陈建颖"
"348","臧天朔"
"349","蔡枫华"
"350","王瑞霞"
"351","凤飞飞"
"352","吴国敬"
"353","李玲玉"
"354","刘尊"
"355","陈美凤"
"356","文焱"
"357","高明骏"
"358","杨林"
"359","于文华"
"360","尹相杰"
"361","陈志朋"
"362","程琳"
"363","王昆"
"364","刘欢"
"365","罗中旭"
"367","李谷一"
"368","李春波"
"369","龙千玉"
"370","谈芳兵"
"372","黄乙玲"
"373","金城武"
"374","黄磊"
"375","轮回乐队"
"376","陈雷"
"378","范琳琳"
"379","汪明荃"
"381","陈松伶"
"382","蔡秋凤"
"383","蔡振南"
"384","张洪量"
"385","蔡淳佳"
"386","袁惟仁"
"387","蓝心湄"
"388","谢若琳"
"389","卢冠廷"
"390","黎姿"
"391","张艾嘉"
"392","伊扬"
"393","袁洁莹"
"394","小刚"
"395","林玉英"
"396","杭天琪"
"397","陈小云"
"399","卢春如"
"401","王宇婕"
"402","凯璐凯月"
"403","曾庆瑜"
"404","叶凡"
"405","小虫"
"406","潘劲东"
"407","叶瑷菱"
"408","梁家辉"
"409","卜学亮"
"410","吴雁泽"
"411","关菊英"
"412","谢东"
"413","李杰"
"414","白冰冰"
"415","袁凤瑛"
"416","詹雅雯"
"418","付笛声"
